ID-taxodros|author|year|title|pagination|volume|journalOrPublisher|formatAndMeta|pubDate|libNumber|issue|editor|volumeTitle
acurio et al., 2010|Acurio, A. & Rafael, V. & Dangles, O.|2010|Biological Invasions in the Amazonian Tropical Rain Forest: The Case of Drosophilidae (Insecta, Diptera) in Ecuador, South America.|717-723|42|Biotropica|pdf|||||
acurio et al., 2013|Acurio, A. & Rafael, V. & Cespedes, D. & Ruiz, A.|2013|Description of a New Spotted Wing Drosophila (Diptera: Drosophilidae) Species and Its Evolutionary Relationships Inferred by a Cladistic Analysis of Morphological Traits.|1-11|106|Ann. ent. Soc. Am.|pdf /|||||
adams & wolfner, 2007|Adams, E.A. & Wolfner, M.F.|2007|Seminal proteins but not sperm induce morphological changes in the Drosophila melanogaster female reproductive tract during sperm storage.|319-331|53|J. Insect Physiol.|pdf|||||
adams, 1898|Adams, F.C.|1898|Diptera taken in the New Forest.|42-43|34|Ent. mon. Mag.|pdf / p 811785:(1898) / ii.1898|1898-02-31|p 811785:(1898)|||
adams, 1899|Adams, F.C.|1899|List of Diptera taken in the New Forest, with some remarks on the season 1898.|95|35|Ent. mon. Mag.|pdf / p 811785:(1899) / iv.1899|1899-04-31|p 811785:(1899)|||
adams, 1900|Adams, F.C.|1900|Diptera (Flies).|154-160||Westminster.|pdf||||Doubleday, H.A.|The Victoria History of the County of Hampshire and the Isle of Wight, Vol. 1
adams, 1902|Adams, F.C.|1902|Acletoxenus syrphoides, Frnfd., at Lyndhurst.|110|38|Ent. mon. Mag.|pdf / p 811785 / v.1902|1902-05-31|p 811785|||
adams, 1905a|Adams, C.F.|1905|Diptera africana, I.|149-208|3|Kans. Univ. Sci. Bull.|pdf / part / x.1905 / p 82790 / xsn 256 / 1905a|1905-10-31|p 82790|||
adams, 1905b|Adams, F.C.|1905|Notes on Diptera in the New Forest, 1904.|138-139|41|Ent. mon. Mag.|pdf / part / p 811785:(1905) / iv.1905 / 1905b|1905-04-31|p 811785:(1905)|||
adams, 1906|Adams, F.C.|1906|Notes on Diptera in the New Forest, 1905.|116-117|42|Ent. mon. Mag.|pdf / seg 554 / v.1906|1906-05-31||||
adamson, 1939|Adamson, A.M.|1939|Review of the fauna of the Marquesas Islands and discussion of its origin.|1-93|159|Bull. Bernice P. Bishop Mus.|pdf|||||
adell & botella, 1986|Adell, J.C. & Botella, L.M.|1986|Effect of long-term competition on development of Drosophila melanogaster.|13|63|D. I. S.|pdf / vi.1986|1986-06-31||||
adell et al., 1990|Adell, J.C. & Moya, A. & Molina, V. & Gonzalez-Candelas, F.|1990|On the analysis of viability data: an example with Drosophila.|39-46|65|Heredity|pdf / viii.1990|1990-08-31||||
aders, 1916|Aders, W.M.|1916|Insects injurious to man and stock in Zanzibar.|391-403|7|Bull. Ent. Res.|pdf|||||
aders, 1917|Aders, W.M.|1917|Insects injurious to man and stock in Zanzibar.|391-401|7|Bull. Ent. Res.|pdf / part / p 812953 / 18.vi.1917|1917-06-18|p 812953|||
adrianov et al., 2008|Adrianov, B.V. & Sorokina, S.Y. & Mugue, N.S. & Reznik, N.L. & Mitrofanov, V.G.|2008|Dynamics of Mitochondrial Polymorphism in a Natural Population of Drosophila littoralis.|159-164|44|Russ. J. Genet.|pdf|||||
afonso et al., 1985|Afonso, J.M. & Hernandez, M. & Padron, G. & Gonzalez, A.M.|1985|Gametic non-random associations in North-West African populations of Drosophila melanogaster.|3-11|67|Genetica|pdf / part / 31.vii.1985|1985-07-31||||
afonso et al., 1990|Afonso, J.M. & Volz, A. & Hernandez, M. & Ruttkay, H. & Gonzalez, M. & Larruga, J.M. & Cabrera, V.M. & Sperlich, D.|1990|Mitochondrial DNA Variation and Genetic Structure in Old-World Populations of Drosophila subobscura.|123-142|7|Molec. Biol. Evol.|pdf / iii.1990|1990-03-31||||
agassiz, 1842|Agassiz, L.|1842|Nomenclator zoologicus continens nomina systematica generum animalium tam viventium quam fossilium secundum ordinem alphabeticum disposita, adjectis auctoribus, libris, in quibus reperiuntur, anno editionis, etymologia et familiis, ad quas pertinent, in singulis classibus.|||Jent et Gassmann, Soloduri|pdf / part / H a II 3|||||
agassiz, 1846|Agassiz, L.|1846|Nomenclatoris zoologici index universalis. 393 pp.|||Jent and Gassmann, Solothurn.|pdf|||||
agassiz, 1848|Agassiz, L.|1846|Nomenclatoris zoologici index universalis. 1193 pp.|||Jent and Gassmann, Solothurn.|pdf|||||
aggarwal et al., 2013|Aggarwal, D.D. & Ranga, P. & Kalra, B. & Parkash, R. & Rashkovetsky, E. & Bantis, L.E.|2013|Rapid effects of humidity acclimation on stress resistance in Drosophila melanogaster.|81-90|166|Comp. Biochem. Physiol.|pdf|||||
agis & schloetterer, 2001|Agis, M. & Schlotterer, C.|2001|Microsatellite variation in natural Drosophila melanogaster populations from New South Wales (Australia) and Tasmania.|1197-1205|10|Molec. Ecol.|pdf|||||
agnew, 1971|Agnew, J.D.|1971|Hybridization between two sibling species of Drosophila.|39-42|4|S. Afr. Genet. Soc.|pdf|||||
agnew, 1973a|Agnew, J.D.|1973|A meristic trait in Drosophila melanogaster x simulans hybrids.|299-312|44|Genetica|pdf / 1973a|||||
agnew, 1973b|Agnew, J.D.|1973|Morphological differences in larval D. melanogaster and simulans.|51-53|50|D. I. S.|pdf / xii.1973 / 1973b|1973-12-31||||
agnew, 1976|Agnew, J.D.|1976|A case of myophily involving Drosophilidae (Diptera).|85-95|42|J. S. Afr. Bot.|pdf|||||
agosin, 1978|Agosin, M.|1978|Functional Role of Proteins.|93-144||Academic Press|pdf / part / c 1038||||Rockstein, M.|Biochemistry of Insects
aguade & langley, 1994|Aguade, M. & Langley, C.H.|1994|Polymorphism and Divergence in Regions of Low Recombination in Drosophila.|67-76||Chapman and Hall|pdf / part / 852797||||Golding, B.|Non-Neutral Evolution. Theories and Molecular Data
aguade & serra, 1980|Aguade, M. & Serra, L.|1980|Spanish cellar populations of Drosophila melanogaster. I. Study of variability at three different levels: quantitative, chromosomal and molecular.|111-120|12|Acta biol. jugosl., Genetika|pdf|||||
aguade & serra, 1987|Aguade, M. & Serra, L.|1987|Analysis of microdifferentiation in a Spanish cellar population of Drosophila melanogaster.|3-9|75|Genetica|pdf / 16.xi.1987|1987-11-16||||
aguade et al., 1981|Aguade, M. & Cuello, J. & Prevosti, A.|1981|Correlated Responses to Selection for Wing Length in Allozyme Systems of Drosophila melanogaster.|317-327|60|Theoret. Appl. Genet.|pdf / p 814167||p 814167|||
aguade et al., 1989|Aguade, M. & Miyashita, N. & Langley, C.H.|1989|Restriction-Map Variation at the Zeste-tko Region in Natural populations of Drosophila melanogaster.|123-130|6|Molec. Biol. Evol.|pdf|||||
aguade, 1988|Agnew, M.|1988|Nucleotide Sequence Comparison of the rp49 Gene Region between Drosophila subobscura and D. melanogaster.|433-441|5|Molec. Biol. Evol.|pdf|||||
aguade, 1998|Aguade, M.|1998|Different Forces Drive the Evolution of the Acp26Aa and Acp26Ab Accessory Gland Genes in the Drosophila melanogaster Species Complex.|1079-1089|150|Genetics|pdf|||||
ahearn & baimai, 1987|Ahearn, J.N. & Baimai, V.|1987|Cytogenetic study of three closely related species of Hawaiian Drosophila.|47-57|29|Genome|pdf|||||
ahearn & kuhn, 1981|Ahearn, J.N. & Kuhn, D.T.|1981|Aldehyde oxidase distribution in picture-winged Hawaiian Drosophila: evolutionary trends.|635-646|35|Evolution|pdf / 21.vii.1981|1981-07-21||||
ahearn & templeton, 1989|Ahearn, J.N. & Templeton, A.R.|1989|Interspecific hybrids of Drosophila heteroneura and D. silvestris. I. Courtship success.|347-361|43|Evolution|pdf / 15.iii.1989|1989-03-15||||
ahearn et al., 1974|Ahearn, J.N. & Carson, H.L. & Dobzhansky, T. & and Kaneshiro, K.Y.|1974|Ethological Isolation Among Three Species of the planitibia Subgroup of Hawaiian Drosophila.|901-903|71|Proc. Natl. Acad. Sci. USA|pdf / iii.1974|1974-03-31||||
ahr, 1967a|Ahr, H.|1967|Mitteldeutsche Blattminenkunde, 1. Teil.|21-32|1966|Ent. Ber., Berlin|pdf / part / 1.ii.1967 / 1967a|1967-02-01||||
ahr, 1967b|Ahr, H.|1967|Mitteldeutsche Blattminenkunde, 2. Teil.|77-88|1966|Ent. Ber., Berlin|pdf / part / 1.vi.1967 / 1967b|1967-06-01||||
aigner, 1899|von Aigner-Abafi, L.|1899|(Review).|303|4|Ill. Z. Ent.|pdf / seg 131|||||
ainslie, 1906|Ainslie, C.N.|1906|Guests of spittle-insects.|44|38|Canad. Ent.|pdf / seg 486 / 5.ii.1906|1906-02-05||||
ainsworth, 1906|Ainsworth Davis, J.R.|1906|Handbook of flower pollination. 382 pp.|||Clarendon Press, Oxford.|pdf|||||
akashi et al., 2006|Akashi, H. & Ko, W.-Y. & Piao, S. & John, A. & Goel, P. & Lin, C.-F. & Vitins, A.P.|2006|Molecular Evolution in the Drosophila melanogaster Species Subgroup: Frequent Parameter Fluctuations on the Timescale of Molecular Divergence.|1711-1726|172|Genetics|pdf|||||
akopyan, 1985|Akopyan, K.Z.|1985|Comparison of the DNA-topoisomerase 1 of embryos of the wild type Dr. simulans and mutant line. (in Russian, with English summary).|810-815|38|Biol. Zh. Armenii|pdf / p 813925||p 813925|||
aksit et al., 2003|Aksit, T. & Ozsemerci, F. & Cakmak, I.|2003|Studies on determination of harmful fauna in the fig orchards in Aydin province (Turkey). Aydin ilinde incir agaclarinda saptanan zararli turler. (in Turkish).|181-189|27|Turkiye Entomoloji Dergisi|pdf|||||
akutsu et al., 2007|Akutsu, K. & Khen, C.V. & Toda, M.J.|2007|Assessment of higher insect taxa as bioindicators for different logging-disturbance regimes in lowland tropical rain forest in Sabah, Malaysia.|542-550|22|Ecol. Res.|pdf|||||
al-hakkak et al., 1985|Al-Hakkak, Z.S. & Ahmed, M.S.H. & Ali, S.R. & Lamooza, S.B. & Al-Maliky, S.K. & and Kadhum, A.-R.A.|1985|Studies on Iraqi population of Drosophila melanogaster inhabiting Tuwaitha area.|295-304|16|J. Biol. Sci. Res., Baghdad|pdf / vii.1985|1985-07-31||||
al-taweel, 1986|Al-Taweel, A.A.|1986|The frequency of spontaneous and induced recessive lethals in the sex chromosome of the Drosophila melanogaster wild type from Iraq.|23|63|D. I. S.|pdf / vi.1986|1986-06-31||||
alahiotis & berger, 1978|Alahiotis, S. & Berger, E.|1978|Adaptation of Drosophila enzymes to temperature - I. Acetylcholinesterase and NADP-dependent isocitrate-dehydrogenase.|199-202|61|Comp. Biochem. Physiol.|pdf|||||
alahiotis & goulielmos, 1986|Alahiotis, S.N. & Goulielmos, G.N.|1986|Fertile F1 males and females from crosses between Drosophila mauritiana females and D. melanogaster or D. simulans males.|14-15|63|D. I. S.|pdf / vi.1986|1986-06-31||||
alahiotis & kilias, 1982|Alahiotis, S.N. & Kilias, G.|1982|Mating propensities and variations in enzyme activities in long-term cage populations of Drosophila melanogaster.|53-58|73|J. Hered.|pdf / part / xs 228 / i.82|||||
alahiotis & pelecanos, 1978|Alahiotis, S. & Pelecanos, M.|1978|Induction of gene pool differentiation in Drosophila melanogaster.|265-273|20|Canad. J. Genet. Cytol.|pdf / p n 160:20|||||
alahiotis & pelecanos, 1980|Alahiotis, S. & Pelecanos, M.|1980|The effect of the environmental parameters temperature and humidity upon the variability of the gene pool in Drosophila melanogaster.|209-217|12|Acta biol. jugosl., Genetika|pdf|||||
alahiotis & stephanou, 1982|Alahiotis, S.N. & Stephanou, G.|1982|Temperature adaptation of Drosophila populations. The heat shock proteins system.|529-533|73|Comp. Biochem. Physiol.|pdf|||||
alahiotis et al., 1976|Alahiotis, S. & Pelecanos, M. & Zacharopoulou, A.|1976|A contribution to the study of linkage disequilibrium in Drosophila melanogaster.|739-745|18|Canad. J. Genet. Cytol.|pdf / p n 160:18|||||
alahiotis et al., 1977a|Alahiotis, S. & Zacharopoulou, A. & Pelecanos, M.|1977|The effect of two ecological factors upon the inversion frequencies in D. melanogaster cage population.|106-108|52|D. I. S.|pdf / v.1977 / 1977a|1977-05-31||||
alahiotis, 1974a|Alahiotis, S.|1974|Isozyme genotype-environment relationship in artificial cage populations originated from a Southern Greek D. melanogaster natural population.|63|51|D. I. S.|pdf / xii.1974 / 1974a|1974-12-31||||
alahiotis, 1974b|Alahiotis, S.|1974|Enzyme polymorphisms in two D. melanogaster populations of Southern Greece.|88|51|D. I. S.|pdf / xii.1974 / 1974b|1974-12-31||||
alahiotis, 1976|Alahiotis, S.|1976|Genetic variation and the ecological parameter "food medium" in cage populations of Drosophila melanogaster.|379-383|18|Canad. J. Genet. Cytol.|pdf / p n 160:18|||||
alahiotis, 1979a|Alahiotis, S.|1979|Adaptation of Drosophila enzymes to temperature - II. Supernatant and mitochondrial malate dehydrogenase.|189-194|9|Insect Biochem.|pdf / p c 1751:9 / 1979a|||||
alahiotis, 1980|Alahiotis, S.N.|1980|Adaptation of Drosophila Enzymes to Temperature. III. Evolutionary Conservatism in Mitochondrial Enzymes.|37-46|16|J. molec. Evol.|pdf / p c 1626:16 / ix.1980|1980-09-31||||
alahiotis, 1982|Alahiotis, S.N.|1982|Adaptation of Drosophila enzymes to temperature. IV. Natural selection at the alcohol-dehydrogenase locus.|81-87|59|Genetica|pdf / 9.ix.1982|1982-09-09||||
alamiri, 2000|Alamiri, Z.|2000|Oviposition behaviour in four species of Drosophila. Conducta de oviposicion en cuatro especies de Drosophila.|123-129|64|Gayana|pdf|||||
alamiri, 2001|Alamiri, Z.|2001|Preadults interactions between the colonizing Drosophila subobscura and the established species D. hydei and D. melanogaster (Diptera: Drosophilidae) in Chile using natural substrates.|17-24|28|Revta chil. Ent.|pdf / seg 105|||||
alatalo & alatalo, 1979|Alatalo, R.H. & Alatalo, R.V.|1979|Estimation of genetic variation by the components of gene diversity.|111-117|20|Aquilo, Ser. Zool.|pdf|||||
alatossava & lakovaara, 1981|Alatossava, T. & Lakovaara, S.|1981|Thermal Stability of alpha-Glycerophosphate Dehydrogenase in Drosophila.|311-320|19|Biochem. Genet.|pdf / p 814060 / iv.1981|1981-04-31|p 814060|||
alawi, 1975|Alawi, A.A.|1975|Electroretinogram of Drosophila: I. Separation of its components.|51-76|2|Dirasat|pdf / part|||||
alawi, 1981|Alawi, A.A.|1981|Correlative spectral sensitivity studies on the electroretinogram components and the receptor potential of Drosophila.|287-299|22|Iraqi J. Sci.|pdf|||||
alawi, 1982|Alawi, A.A.|1982|Light-induced pore formation in the membrane of the photoreceptor cell.|281-287|7|Arab. J. Sci. Eng.|pdf / p 816436 / vii.1982|1982-07-31|p 816436|||
albalat & gonzalez, 1993|Albalat, R. & Gonzalez-Duarte, R.|1993|Adh and Adh-dup sequences of Drosophila lebanonensis and D. immigrans: interspecies comparisons.|171-178|126|Gene|pdf / p 816458||p 816458|||
albalat et al., 1994|Albalat, R. & Atrian, S. & Gonzalez-Duarte, R.|1994|Drosophila lebanonensis ADH: analysis of recombinant wild-type enzyme and site-directed mutants. The effect of restoring the consensus sequence in two positions.|171-176|341|FEBS Lett.|pdf / part / p c 128|||||
alberola & frutos, 1993a|Alberola, T.M. & de Frutos, R.|1993|Gypsy Homologous Sequences in Drosophila subobscura (gypsyDS).|127-135|36|J. molec. Evol.|pdf / p c 1626 / ii.1993 / 1993a|1993-02-31||||
alberola & frutos, 1993b|Alberola, T.M. & de Frutos, R.|1993|Distribution of gypsy sequences in Drosophila species of the obscura subgroup.|131-137|118|Hereditas|pdf / iv.1993 / 1993b|1993-04-31||||
alberola et al., 1987|Alberola, J. & Sanchez, A. & Fontdevila, A.|1987|Adh Expression in Species of the mulleri Subgroup of Drosophila.|727-738|25|Biochem. Genet.|pdf / part|||||
albers & bijlsma, 1986|Albers, K.B.M. & Bijlsma, R.|1986|Selection for increase in tolerance with respect to xenobiotics in Drosophila melanogaster.|15-16|63|D. I. S.|pdf / vi.1986|1986-06-31||||
albers & bradley, 2006|Albers, M.A. & Bradley, T.J.|2007|Fecundity in Drosophila following Desiccation Is Dependent on Nutrition and Selection Regime.|857-865|79|Physiol. Biochem. Zool.|pdf|||||
albornoz & dominguez, 1987|Albornoz, J. & Dominguez, A.|1987|Genetic Analysis of Drosophila melanogaster Egg Insertion Behavior.|257-262|17|Behav. Genet.|pdf / p 814849 / v.1987|1987-05-31|p 814849|||
albuquerque & napp, 1980|de Albuquerque, C.M.R. & Napp, M.|1980|Polimorfismo do loco da esterase-6 em populacoes naturais de Drosophila simulans do Rio Grande do Sul.|1555-1559|32|Cienc. e Cult.|pdf / xi.1980|1980-11-31||||
albuquerque & napp, 1981|de Albuquerque, C.M.r. & Napp, M.|1981|Genetic variability at the esterase-6 locus in natural populations of Drosophila simulans in relation to environmental heterogeneity.|399-407|98|Genetics|pdf|||||
alcock, 1920|Alcock, A.|1920|Entomology for medical officers.|||Gurney and Jackson|pdf / part|||||
alcorta & rubio, 1988|Alcorta, E. & Rubio, J.|1988|Genetical analysis of intrapopulational variation in olfactory response in Drosophila melanogaster.|7-14|60|Heredity|pdf / ii.1988|1988-02-31||||
alcorta & rubio, 1989|Alcorta, E. & Rubio, J.|1989|Intrapopulational Variation of Olfactory Responses in Drosophila melanogaster.|285-300|19|Behav. Genet.|pdf / part / p 814849 / iii.1989|1989-03-31|p 814849|||
alcorta et al., 1986|Alcorta-Azcue, E. & Garcia-Vazquez, E. & Sanchez-Refusta, F.|1986|Influence of the altitude in Asturian communities of Drosophilidae.|17-19|63|D. I. S.|pdf / vi.1986|1986-06-31||||
alcorta et al., 1987|Alcorta, E. & Dominguez, A. & Albornoz, J.|1987|Egg retention in Drosophila melanogaster females.|5-7|66|D. I. S.|pdf / vi.1987|1987-06-31||||
aldinger, 1985|Aldinger-von Kleist, R.|1985|Genetic Analysis of the Light Dependence of Courtship in Drosophila subobscura.|123-134|15|Behav. Genet.|pdf / p 814849 / iii.1985|1985-03-31|p 814849|||
aldrich, 1905|Aldrich, J.M.|1905|A Catalogue of North American Diptera (or Two-winged Flies).|1-680|46|Smithson. misc. Collns|pdf / p 8241:46 / v.1005|1005-05-31|p 8241:46|1444||
aldrich, 1915|Aldrich, J.M.|1915|New American Species of Asteia and Sigaloessa.|94-98|22|Psyche, Camb., Mass.|pdf / vi.1915 / p 811833|1915-06-31|p 811833|||
aldrich, 1919|Aldrich, J.M.|1919|Leiomyza in North America (Dipt., Drosophilidae.).|137-141|30|Ent. News|pdf / p 811824 / v.1919|1919-05-31|p 811824|||
aldrich, 1922|Aldrich, J.M.|1922|(no title).|317-318|33|Ent. News|pdf / p 811824 / xii.1922|1922-12-31|p 811824|||
aldrich, 1931|Aldrich, J.M.|1931|New Acalyptrate Diptera from the Pacific and Oriental regions.|395-399|7|Proc. Hawaii. ent. Soc.|pdf / part / iv. 1931|||||
alemdar & miller, 1978|Alemdar, N. & Miller, D.D.|1978|Further investigations of light-dependent mating in Drosophila algonquin and related species. (Abstract).|4-5|88|Proc. Neb. Acad. Sci.|pdf / be s|||||
alemdar et al., 1980|Alemdar, N. & McIntyre, R. & Chang, H.-C. & Miller, D.D.|1980|The influence of winglessness on mating frequency in species of the Drosophila affinis subgroup.|1-8|8|Trans. Neb. Acad. Sci.|pdf|||||
alexander & stone, 1955|Alexander, M.L. & Stone, W.S.|1955|Radiation damage in the developing germ cells of Drosophila virilis.|1046-1057|41|Proc. Natl. Acad. Sci. USA|pdf|||||
alexander et al., 1952|Alexander, M.L. & Lea, R.B. & Stone, W.S.|1952|Interspecific gene variability in the Virilis species group.|106-113|5204|Univ. Texas Publs|pdf / 15.ii.1952|1952-02-15||||
alexander, 1925|Alexander, W.B.|1925|Natural Enemies of Prickly Pear and their Introduction into Australia.|1|29|Bull. Inst. Sci. Ind., Melb.|pdf / part|||||
alexander, 1949|Alexander, M.L.|1949|Note on gene variability in natural populations of Drosophila.|63-69|4920|Univ. Texas Publs|pdf / 15.x.1949|1949-10-15||||
alexander, 1952a|Alexander, M.L.|1952|Gene variability in the Americana-Texana-Novamexicana complex of the virilis group of Drosophila.|73-105|5204|Univ. Texas Publs|pdf / 15.ii.1952 / 1952a|1952-02-15||||
alexander, 1952b|Alexander, M.L.|1952|The effect of two pericentric inversions upon crossingover in Drosophila melanogaster.|219-226|5204|Univ. Texas Publs|pdf / 15.ii.1952 / 1952b|1952-02-15||||
alexander, 1976|Alexander, M.L.|1976|The genetics of Drosophila virilis.|1365-1427||Academic Press|pdf / QH 0470 GENE||||Ashburner, M. & Novitski, E.|The Genetics and Biology of Drosophila. Vol. 1c
alexandrov & golubovsky, 1983|Alexandrov, Y.N. & Golubovsky, M.D.|1983|The multisite mutations induced by viruses and foreign DNA can spread in natural populations of Drosophila.|10-11|59|D. I. S.|pdf / x.1983|1983-10-31||||
alexandrov, 1971|Alexandrov, I.D.|1971|The functional w+ isoalleles revealed by w mutations in D. melanogaster.|72-73|46|D. I. S.|pdf / i.1971|1971-01-31||||
alexandrov, 1992|Alexandrov, I.D.|1992|Different patterns of spontaneous mutability in two wild-type sib stocks of D. melanogaster with long-term laboratory history.|213-214|71|D. I. S.|pdf / vii.1992|1992-07-31||||
alexeieff, 1912|Alexeieff, A.|1912|Quelques remarques a propos de la specificite parasitaire. Sur le veritable nom de Cryptobia (=Trypanoplasma) intestinalis et sur celui du Trypanosome pathogene des Mammiferes; quelques autres questions de synonymie chez les Protozoaires.|17-37|41|Zool. Anz.|pdf / part / 26.xii.1912|1912-12-26||||
alfaro et al., 1985|Alfaro, R.I. & Hulme, M.A. & Harris, J.W.E.|1985|Insects associated with the Sitka spruce weevil, Pissodes strobi (Col.: Curculionidae) on Sitka spruce, Picea sitchensis in British Columbia, Canada.|415-418|30|Entomophaga|pdf / p l 370:30|||||
alfken, 1924|Alfken, J.D.|1924|Die Insekten des Memmert. Zum Problem der Besiedlung einer neuentstehenden Insel.|358-481|25|Abh. naturw. Ver. Bremen|pdf / part / xi.1924|1924-11-31||||
alfonsi et al., 1998|Alfonsi, Q. & Piccinini, G. & Baviera, C. & Nicoli Aldini, R.|1998|La prevenzione delle contaminazioni entomatiche negli ortaggi per l'industria alimentare: sperimentazione di una macchina aspiratrice su colture di spinacio.|57-65||Chiriotti|pdf||||Cravedi, P.|Atti del 60 Simposio "La difesa antiparassitaria nelle industrie alimentari e la protezione degli alimenti"
ali & el-helw, 1974|Ali, A.M.M. & El-Helw, M.R.|1974|Differences in the yeasts preferred by Drosophila melanogaster and D. simulans.|204-210|3|Egypt. J. Genet. Cytol.|pdf / vii.1974 / p 814978|1974-07-31|p 814978|||
